S NO,APPLN NO,AGGREGATE MARK,GENERAL RANK,GOVT RANK,COLLEGE CODE,BRANCH CODE,ALLOTTED CATEGORY
1698,254172,145.5,71342,4932,3011,CE,OC
1699,291749,145.5,71393,4933,2624,AG,MBC
1700,233876,145.5,71395,4934,3019,CS,MBC
1701,219877,145.5,71396,4935,2345,EC,OC
1702,331758,145.5,71417,4939,2636,EE,MBC
1703,304744,145.5,71434,4940,2621,EC,BC
1704,355228,145.5,71444,4941,1118,IT,SC
1705,327934,145.5,71450,4942,2636,EC,MBC
1706,333864,145.5,71457,4943,2715,AD,BC
1707,344096,145.5,71459,4944,2625,CS,SC
1708,392891,145.5,71489,4947,1519,IT,MBC
1709,298383,145.5,71500,4948,1322,CS,SC
1710,268967,145.5,71517,4949,1026,ME,OC
1711,261799,145.5,71528,4950,4023,CS,MBC
1712,375020,145.5,71533,4951,2708,BM,MBC
1713,349280,145.5,71557,4954,2620,EE,MBC
1714,294014,145.5,71571,4955,2006,MS,SC
1715,259892,145.5,71573,4957,4917,IT,OC
1716,265150,145.5,71591,4959,1401,CS,BC
1717,228158,145.5,71599,4960,3819,EE,MBC
1718,363654,145.5,71612,4963,2733,FT,OC
1719,239220,145.5,71617,4964,2329,AD,BC
1720,347510,145.5,71626,4965,1120,EC,MBC
1721,303314,145.5,71627,4966,2618,EE,BC
1722,201403,145.5,71639,4968,3786,CS,BC
1723,368376,145.5,71640,4969,2711,CE,OC
1724,330122,145.5,71642,4970,1122,BT,MBC
1725,224321,145.5,71678,4974,5910,IT,SC
1726,401092,145.5,71684,4975,3786,AE,OC
1727,344607,145.5,71715,4979,1412,IT,BC
1728,370098,145.4,71724,4981,1441,CE,OC
1729,307017,145.365,71726,4982,2727,CS,BC
1730,320802,145.07,71738,4985A,2725,CS,SC
1731,405334,145.045,71739,4986,2750,ME,SC
1732,375871,145,71762,4988,2749,SC,SCA
1733,291336,145,71773,4989,2768,CS,OC
1734,251729,145,71781,4990,2727,IT,BC
1735,311702,145,71784,4991,2715,EE,BC
1736,313060,145,71794,4993,3795,CS,BC
1737,411318,145,71815,4994,1210,EC,MBC
1738,323315,145,71819,4996,2621,IT,MBC
1739,280527,145,71828,4997,2613,CS,BC
1740,259452,145,71830,4998,1507,CS,BC
1741,381777,145,71839,4999,1311,IT,BC
1742,257530,145,71857,5002,2617,MD,BC
1743,306150,145,71869,5003,2740,CS,SC
1744,364981,145,71881,5004,2620,EC,BC
1745,321877,145,71888,5005,2707,CD,BC
1746,296084,145,71889,5006,2723,CE,OC
1747,301724,145,71904,5007,2723,CS,BC
1748,374559,145,71914,5008,3829,IT,SC
1749,295967,145,71925,5009,2708,BM,BC
1750,386292,145,71939,5010,2768,CE,BC
1751,217885,145,71944,5011,2712,ME,BC
1752,243061,145,71955,5012,5942,IT,BC
1753,394428,145,71960,5013,2610,EC,BC
1754,239763,145,71969,5014,2712,AU,MBC
1755,229618,145,71977,5016,4959,CS,OC
1756,227539,145,71983,5017,1427,CS,OC
1757,254897,145,71986,5019,2727,IT,BC
1758,245768,145,71987,5020,2711,AL,SC
1759,245492,145,71988,5021,3807,EC,BC
1760,272594,145,71998,5022,2736,AD,BC
1761,216638,145,72023,5024,1149,EE,OC
1762,267687,145,72025,5026,5009,CE,OC
1763,296353,145,72054,5027,3817,BT,MBC
1764,284170,145,72055,5028,3804,AU,OC
1765,342132,145,72060,5029,2627,CS,BC
1766,375793,145,72063,5030,2614,IT,OC
1767,317482,145,72080,5032,2611,AM,OC
1768,351526,145,72142,5040,1311,CS,MBC
1769,290999,145,72160,5042,2608,CS,BC
1770,249524,145,72206,5046,4955,IT,BC
1771,312284,145,72207,5047,1101,AD,OC
1772,264530,145,72212,5048,2615,CE,BC
1773,220220,145,72238,5051,1122,AD,OC
1774,201093,145,72263,5052,1437,IT,MBC
1775,314454,145,72354,5057,3826,EC,MBC
1776,376226,145,72360,5058,5502,CS,OC
1777,338022,145,72363,5059,4944,CS,OC
1778,291361,145,72369,5060,2743,CS,OC
1779,274474,145,72371,5061,3016,CS,SC
1780,275347,145,72402,5063,2710,EC,ST
1781,221444,145,72409,5065,2751,EC,OC
1782,355071,145,72437,5068,1222,CS,OC
1783,386836,145,72439,5069,2611,BM,MBC
1784,302441,145,72465,5074,1316,MU,MBC
1785,353837,144.99,72470,5076,3926,CS,OC
1786,409583,144.955,72472,5078,1430,CS,OC
1787,349457,144.865,72477,5079,5,EE,OC
1788,281347,144.5,72493,5081,5530,CS,BC
1789,290108,144.5,72525,5082,2612,CS,OC
1790,366546,144.5,72540,5083,2620,TS,BC
1791,223633,144.5,72554,5085,3806,CS,MBC
1792,267672,144.5,72570,5086,2702,EC,BCM
1793,217137,144.5,72588,5088,4023,EC,MBC
1794,336249,144.5,72608,5090,4917,BM,BC
1795,313201,144.5,72630,5091,5910,AD,OC
1796,304663,144.5,72664,5092,2642,EE,OC
1797,320755,144.5,72676,5093,2357,IT,OC
1798,369236,144.5,72714,5094,5990,CS,BC
1799,315577,144.5,72715,5095,2634,CS,BC
1800,245722,144.5,72739,5096,4993,CS,BC
1801,397786,144.5,72742,5098,4960,BM,BC
1802,362903,144.5,72753,5099,2625,BM,OC
1803,396162,144.5,72756,5100,1112,CB,SC
1804,206295,144.5,72762,5101,2722,CE,OC
1805,365427,144.5,72769,5102,2611,CS,MBC
1806,383473,144.5,72785,5103,5832,EC,OC
1807,344563,144.5,72790,5104,1311,AE,MBC
1808,295622,144.5,72796,5106,2633,EC,OC
1809,386331,144.5,72803,5107,2634,IT,SC
1810,350542,144.5,72806,5108,2611,EC,OC
1811,322242,144.5,72810,5109,2726,EC,BC
1812,277772,144.5,72833,5110,2025,EE,BC
1813,349879,144.5,72851,5112,2719,RM,BC
1814,318978,144.5,72873,5114,2625,BM,MBC
1815,293873,144.5,72874,5115,4917,IT,OC
1816,259872,144.5,72915,5117,1026,ME,MBC
1817,352731,144.5,72926,5118,1110,EC,BC
1818,326522,144.5,72928,5119,5986,EE,BC
1819,361769,144.5,72938,5120,2734,CS,BC
1820,268145,144.5,72942,5121,1422,AG,BC
1821,365758,144.5,72950,5122,3805,ME,OC
1822,363440,144.5,72981,5124,2727,BM,OC
1823,336545,144.5,72983,5125,4984,EC,OC
1824,294978,144.5,72986,5126,2611,CI,OC
1825,333877,144.5,73007,5128,2758,CS,BC
1826,209803,144.5,73011,5129,2329,BT,SC
1827,331389,144.5,73033,5131,1210,IT,SC
1828,281410,144.5,73042,5132,2715,CS,MBC
1829,245092,144.5,73047,5133,5910,EC,BC
1830,240659,144.5,73055,5134,2702,TX,OC
1831,324159,144.5,73068,5135,2624,AD,BC
1832,288836,144.5,73093,5137,2711,CE,OC
1833,240205,144.5,73097,5138,1319,AD,OC
1834,296457,144.5,73120,5140,2707,IT,OC
1835,253755,144.5,73122,5141,1114,CB,OC
1836,238071,144.5,73124,5142,2736,CS,BC
1837,323955,144.5,73133,5144,2723,EC,MBC
1838,346371,144.5,73153,5145,3829,CS,OC
1839,287712,144.5,73195,5146,3810,CS,BC
1840,408998,144.5,73208,5148,1513,IT,BC
1841,330855,144.5,73212,5149,5910,BM,OC
1842,248498,144.5,73217,5150,1412,EE,OC
1843,264988,144.475,73238,5152,2747,EE,OC
1844,201930,144.32,73246,5157,1216,AD,SC
1845,286012,144.24,73250,5158,2636,ME,OC
1846,285026,144.135,73253,5159,1216,AD,SC
1847,334202,144.1,73257,5159A,1421,CE,OC
1848,369227,144,73264,5161,1430,ME,MBC
1849,409990,144,73282,5162,1316,CS,OC
1850,349025,144,73300,5163,2607,TX,OC
1851,345176,144,73325,5165,2608,AD,BC
1852,322902,144,73406,5171,2618,BM,BC
1853,342100,144,73416,5172,1211,CE,OC
1854,240019,144,73418,5173,2750,BT,OC
1855,269026,144,73427,5174,2734,AD,OC
1856,294900,144,73471,5176,3011,EE,SC
1857,287715,144,73492,5179,3803,EC,BC
1858,291107,144,73527,5181,2707,EC,BC
1859,371533,144,73548,5182,2627,CS,MBC
1860,314645,144,73559,5183,2707,CS,BC
1861,340276,144,73562,5184,2606,CS,MBC
1862,306850,144,73569,5185,2621,CB,OC
1863,266777,144,73587,5187,1519,EE,OC
1864,300482,144,73591,5188,2707,CH,BC
1865,365136,144,73597,5189,2607,FD,OC
1866,241700,144,73603,5190,1118,EC,BC
1867,276317,144,73615,5191,4965,EC,OC
1868,371235,144,73629,5192,1413,CS,BC
1869,255703,144,73635,5194,1411,EC,OC
1870,330999,144,73641,5195,5919,EC,MBC
1871,267910,144,73643,5196,2764,ME,BC
1872,297865,144,73645,5197,3011,XC,BC
1873,280621,144,73667,5198,1118,BM,OC
1874,240830,144,73672,5199,3019,EC,BC
1875,354932,144,73691,5201,1519,CS,SC
1876,305774,144,73717,5202,4917,CB,OC
1877,297619,144,73723,5205,5017,CS,OC
1878,227341,144,73726,5206,2727,AG,MBC
1879,230923,144,73730,5207,5530,EC,OC
1880,255160,144,73737,5209,2713,CS,BC
1881,248188,144,73822,5214,4961,EC,OC
1882,212261,144,73824,5215,2750,CB,BC
1883,294892,144,73885,5218,3817,CS,MBC
1884,218607,144,73916,5220,2608,CB,MBC
1885,322850,144,73957,5225,4960,EC,BCM
1886,402735,144,73964,5226,2609,IT,BC
1887,281160,144,73976,5227,3011,EE,BC
1888,383337,143.99,73984,5229,2734,AD,MBC
1889,409759,143.955,73988,5232,2610,ME,OC
1890,362509,143.9,73989,5233,5919,CS,SC
1891,296917,143.5,74031,5239,3826,ME,OC
1892,351941,143.5,74033,5240,2634,EE,OC
1893,321406,143.5,74036,5241,3806,CS,BC
1894,269033,143.5,74046,5242,1405,CS,OC
1895,390536,143.5,74066,5244,2709,ME,OC
1896,281048,143.5,74093,5246,3760,AD,MBC
1897,300904,143.5,74136,5250,1504,EE,OC
1898,357687,143.5,74144,5251,2025,ME,BC
1899,207547,143.5,74160,5253,2329,XS,OC
1900,350871,143.5,74238,5256,1405,AD,OC
1901,303745,143.5,74244,5258,1507,IT,BC
1902,237198,143.5,74253,5260,2342,EC,BC
1903,287904,143.5,74268,5261,2610,EC,BC
1904,329030,143.5,74277,5262,2736,EC,OC
1905,270348,143.5,74279,5263,2632,BM,OC
1906,375452,143.5,74292,5264,3833,CS,OC
1907,321260,143.5,74309,5265,2622,CS,BC
1908,386760,143.5,74310,5266,3464,EE,OC
1909,369492,143.5,74312,5267,2006,TT,SC
1910,311535,143.5,74324,5269,2607,AD,BC
1911,403780,143.5,74332,5270,5919,CS,MBC
1912,228635,143.5,74350,5271,3795,AD,MBC
1913,317918,143.5,74365,5272,2617,IT,BC
1914,404160,143.5,74375,5274,3701,CS,MBC
1915,314790,143.5,74415,5277,4957,EC,OC
1916,363414,143.5,74420,5278,2632,IT,OC
1917,364610,143.5,74437,5280,5935,EE,OC
1918,347462,143.5,74446,5281,2751,EC,OC
1919,236093,143.5,74460,5283,3807,IT,MBC
1920,217451,143.5,74496,5284,2734,AD,BC
1921,270276,143.5,74546,5290,4680,CE,OC
1922,242077,143.5,74561,5292,1422,AG,MBC
1923,267304,143.5,74564,5293,1317,EE,BC
1924,302045,143.5,74573,5294,2369,EE,BC
1925,305194,143.5,74597,5297,2625,CS,MBC
1926,219459,143.5,74618,5298,5832,AD,BC
1927,344315,143.5,74622,5299,2735,EC,ST
1928,340991,143.5,74630,5301,4964,CS,OC
