S NO,APPLN NO,COMMUNITY,AGGREGATE MARK,GENERAL RANK,COLLEGE CODE,BRANCH CODE,ALLOTTED CATEGORY
19555,405030,BC,156.5,56009,4993,IT,OC
19556,340325,BC,156.5,56010,2750,AM,OC
19557,277161,BCM,156.5,56013,3465,EE,BCM
19558,256067,SC,156.5,56014,2615,CE,SC
19559,353297,SC,156.5,56015,1412,CE,OC
19560,329728,MBC,156.5,56016,1202,CS,OC
19561,336415,BC,156.5,56017,1118,CS,BC
19562,392307,BCM,156.5,56018,2615,ME,BCM
19563,320168,BC,156.5,56019,1408,AL,OC
19564,322020,MBC,156.5,56021,2611,AM,OC
19565,274028,SC,156.5,56022,2712,CE,SC
19566,201301,MBC,156.5,56026,1114,IT,OC
19567,208791,MBC,156.5,56028,2764,CH,MBC
19568,301101,BCM,156.5,56029,5910,EC,BCM
19569,350447,BC,156.5,56031,1122,CS,BC
19570,343819,MBC,156.5,56033,2607,CS,MBC
19571,333357,BC,156.5,56036,2715,CS,OC
19572,251099,MBC,156.5,56037,4960,EC,MBC
19573,260551,BC,156.5,56038,1419,MU,OC
19574,290503,MBC,156.5,56040,2653,EC,MBC
19575,425328,MBC,156.5,56041,1411,AE,OC
19576,280985,BC,156.5,56043,2727,SC,BC
19577,309792,BCM,156.5,56045,2634,AD,OC
19578,276263,BC,156.5,56046,1237,CS,BC
19579,218452,BCM,156.5,56049,3701,AM,OC
19580,316159,BC,156.5,56052,2610,CS,OC
19581,370757,BC,156.5,56054,1210,EC,BC
19582,234605,BC,156.5,56056,4023,EC,BC
19583,375392,MBC,156.5,56060,1311,AE,MBC
19584,330870,MBC,156.5,56061,1317,EE,MBC
19585,245173,OC,156.5,56062,4953,CE,OC
19586,241906,MBC,156.5,56065,3456,CS,OC
19587,317016,BC,156.5,56067,2618,EE,BC
19588,386691,BC,156.5,56068,4959,EC,BC
19589,280136,MBC,156.5,56069,2620,CS,OC
19590,279708,BC,156.5,56071,2734,AD,BC
19591,401374,SC,156.5,56074,1237,AD,OC
19592,359781,BC,156.5,56078,1210,AL,BC
19593,421177,BC,156.5,56080,2622,IT,OC
19594,317308,SC,156.5,56082,2719,AD,SC
19595,286564,BC,156.5,56084,1114,IT,OC
19596,207758,MBC,156.5,56086,1140,CS,MBC
19597,397380,BC,156.5,56088,2729,IT,BC
19598,420493,BC,156.5,56089,2608,CB,OC
19599,318272,BC,156.5,56090,3018,CS,OC
19600,230731,OC,156.5,56093,4954,AD,OC
19601,313817,BC,156.5,56094,3701,AM,OC
19602,386727,BC,156.5,56097,2624,AD,OC
19603,297925,BC,156.5,56099,2711,MZ,BC
19604,393495,MBC,156.5,56100,2751,IT,MBC
19605,258806,BC,156.5,56102,2729,EC,OC
19606,407471,BC,156.5,56103,2630,EC,OC
19607,380345,BC,156.5,56105,5904,SC,BC
19608,216555,MBC,156.5,56106,1311,EC,MBC
19609,335695,MBC,156.5,56107,1110,CS,OC
19610,324596,SC,156.5,56108,2653,CB,SC
19611,327449,BC,156.5,56109,2707,AD,OC
